date,time,src_ip,src_mac,domain,protocol,event_type
2026-06-05,18:52:20,192.168.0.7,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:52:21,,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:52:21,192.168.0.7,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:52:24,192.168.0.9,BC:03:58:DF:C2:0D,chatgpt.com,DNS,DNS_QUERY
2026-06-05,18:52:24,192.168.0.9,BC:03:58:DF:C2:0D,chatgpt.com,DNS,DNS_QUERY
2026-06-05,18:52:40,,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:52:40,192.168.0.7,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:52:41,192.168.0.7,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:52:41,,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:52:44,,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:52:44,192.168.0.7,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:52:53,192.168.0.7,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:52:53,,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:53:25,192.168.0.9,BC:03:58:DF:C2:0D,chatgpt.com,DNS,DNS_QUERY
2026-06-05,18:53:25,192.168.0.9,BC:03:58:DF:C2:0D,chatgpt.com,DNS,DNS_QUERY
2026-06-05,18:53:37,192.168.0.2,38:E7:C0:A8:FC:68,55in JVC Roku TV._airplay._tcp.local,DNS,DNS_QUERY
2026-06-05,18:53:37,,38:E7:C0:A8:FC:68,55in JVC Roku TV._airplay._tcp.local,DNS,DNS_QUERY
2026-06-05,18:53:58,192.168.0.7,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:53:58,,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:53:59,192.168.0.7,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:53:59,,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:54:02,192.168.0.7,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:54:02,,6A:FC:70:13:0C:B1,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:54:24,192.168.0.5,2A:08:CC:01:AB:23,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:54:24,,2A:08:CC:01:AB:23,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:54:25,,2A:08:CC:01:AB:23,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:54:25,192.168.0.5,2A:08:CC:01:AB:23,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:54:28,192.168.0.5,2A:08:CC:01:AB:23,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:54:28,,2A:08:CC:01:AB:23,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:54:32,192.168.0.9,BC:03:58:DF:C2:0D,main.vscode-cdn.net,DNS,DNS_QUERY
2026-06-05,18:54:32,192.168.0.9,BC:03:58:DF:C2:0D,main.vscode-cdn.net,DNS,DNS_QUERY
2026-06-05,18:54:37,192.168.0.9,BC:03:58:DF:C2:0D,chatgpt.com,DNS,DNS_QUERY
2026-06-05,18:54:38,,6A:FC:70:13:0C:B1,_rdlink._tcp.local,DNS,DNS_QUERY
2026-06-05,18:54:38,192.168.0.7,6A:FC:70:13:0C:B1,_rdlink._tcp.local,DNS,DNS_QUERY
2026-06-05,18:54:56,,2A:08:CC:01:AB:23,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:54:56,192.168.0.5,2A:08:CC:01:AB:23,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:54:57,192.168.0.5,2A:08:CC:01:AB:23,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:54:57,,2A:08:CC:01:AB:23,_companion-link._tcp.local,DNS,DNS_QUERY
2026-06-05,18:55:45,192.168.0.9,BC:03:58:DF:C2:0D,chatgpt.com,DNS,DNS_QUERY
2026-06-05,18:55:45,192.168.0.9,BC:03:58:DF:C2:0D,chatgpt.com,DNS,DNS_QUERY
2026-06-05,18:55:59,192.168.0.9,BC:03:58:DF:C2:0D,ws.chatgpt.com,DNS,DNS_QUERY
2026-06-05,18:55:59,192.168.0.9,BC:03:58:DF:C2:0D,ws.chatgpt.com,DNS,DNS_QUERY
2026-06-05,18:55:59,192.168.0.9,BC:03:58:DF:C2:0D,ws.chatgpt.com,DNS,DNS_QUERY
2026-06-05,18:55:59,192.168.0.9,BC:03:58:DF:C2:0D,ws.chatgpt.com,DNS,DNS_QUERY
2026-06-05,18:55:59,192.168.0.9,BC:03:58:DF:C2:0D,ws.chatgpt.com,DNS,DNS_QUERY
2026-06-05,18:55:59,192.168.0.9,BC:03:58:DF:C2:0D,ws.chatgpt.com,DNS,DNS_QUERY
2026-06-05,18:56:25,192.168.0.2,38:E7:C0:A8:FC:68,55in JVC Roku TV._airplay._tcp.local,DNS,DNS_QUERY
2026-06-05,18:56:25,,38:E7:C0:A8:FC:68,55in JVC Roku TV._airplay._tcp.local,DNS,DNS_QUERY
